Words,Frequency,Rank
the,4523,1
and,2488,2
that,1120,3
was,922,4
you,882,5
his,880,6
with,799,7
said,652,8
had,556,9
Turnbull,544,10
not,479,11
The,419,12
for,414,13
have,370,14
all,354,15
they,340,16
but,339,17
man,335,18
him,334,19
like,322,20
which,321,21
this,319,22
were,316,23
are,307,24
one,295,25
out,249,26
from,239,27
other,224,28
But,218,29
into,214,30
them,211,31
there,207,32
about,201,33
will,198,34
who,188,35
your,186,36
only,185,37
And,178,38
You,177,39
more,171,40
two,170,41
what,167,42
their,166,43
some,165,44
been,143,45
Evan,141,46
know,139,47
would,139,48
very,134,49
when,134,50
did,134,51
face,134,52
than,133,53
down,133,54
can,131,55
little,129,56
say,126,57
God,126,58
quite,125,59
even,122,60
has,122,61
seemed,121,62
then,121,63
could,117,64
see,117,65
Then,117,66
They,115,67
now,115,68
really,112,69
world,111,70
thing,111,71
any,109,72
her,108,73
something,105,74
looked,104,75
made,102,76
voice,102,77
What,99,78
after,99,79
long,99,80
still,98,81
cried,97,82
men,96,83
upon,95,84
over,95,85
went,95,86
back,94,87
think,94,88
old,93,89
saw,92,90
our,90,91
came,90,92
again,90,93
may,90,94
head,90,95
its,89,96
himself,87,97
almost,87,98
eyes,87,99
here,87,100
time,86,101
first,85,102
garden,84,103
mean,82,104
sort,81,105
must,81,106
such,81,107
come,80,108
last,79,109
asked,79,110
things,78,111
because,78,112
great,77,113
before,77,114
way,75,115
should,75,116
There,73,117
same,73,118
she,73,119
under,71,120
want,71,121
fight,71,122
whole,69,123
might,69,124
own,69,125
much,68,126
began,68,127
found,68,128
suddenly,68,129
right,68,130
sword,68,131
good,67,132
place,67,133
just,67,134
moment,67,135
wall,67,136
answered,67,137
through,66,138
don,66,139
red,66,140
half,65,141
people,64,142
never,64,143
being,63,144
white,61,145
most,61,146
round,61,147
stood,61,148
each,60,149
off,60,150
nothing,59,151
those,59,152
behind,59,153
well,59,154
thought,56,155
away,56,156
black,56,157
Why,55,158
yet,55,159
also,54,160
rather,54,161
against,53,162
light,53,163
turned,52,164
these,52,165
where,52,166
sea,52,167
enough,51,168
always,51,169
instant,51,170
earth,50,171
Yes,50,172
This,49,173
Well,49,174
once,49,175
shall,49,176
side,49,177
silence,49,178
That,48,179
mad,48,180
along,48,181
every,48,182
When,48,183
let,48,184
got,48,185
between,48,186
cross,47,187
ever,47,188
young,47,189
road,47,190
too,46,191
car,46,192
figure,46,193
far,45,194
another,45,195
mere,45,196
without,45,197
life,45,198
