Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-20,58.17,58.65,57.55,58.41,17063347.0,0.0,1.0,58.17,58.65,57.55,58.41,17063347.0
2017-04-19,58.85,59.0995,57.6,57.73,18094115.0,0.0,1.0,58.85,59.0995,57.6,57.73,18094115.0
2017-04-18,58.58,58.89,58.07,58.42,16878586.0,0.0,1.0,58.58,58.89,58.07,58.42,16878586.0
2017-04-17,58.36,59.06,57.925,58.99,14497512.0,0.0,1.0,58.36,59.06,57.925,58.99,14497512.0
2017-04-13,58.3,59.73,57.68,58.04,31725187.0,0.0,1.0,58.3,59.73,57.68,58.04,31725187.0
2017-04-12,59.09,59.125,58.27,58.51,15171983.0,0.0,1.0,59.09,59.125,58.27,58.51,15171983.0
2017-04-11,58.68,59.05,58.08,59.03,15218507.0,0.0,1.0,58.68,59.05,58.08,59.03,15218507.0
2017-04-10,59.36,59.975,58.98,59.28,11869232.0,0.0,1.0,59.36,59.975,58.98,59.28,11869232.0
2017-04-07,59.33,59.885,59.26,59.43,13444972.0,0.0,1.0,59.33,59.885,59.26,59.43,13444972.0
2017-04-06,59.44,60.23,59.0099,59.89,13781025.0,0.0,1.0,59.44,60.23,59.0099,59.89,13781025.0
2017-04-05,60.5,61.02,59.53,59.59,20152962.0,0.0,1.0,60.5,61.02,59.53,59.59,20152962.0
2017-04-04,59.29,59.95,59.2,59.68,9732465.0,0.0,1.0,59.29,59.95,59.2,59.68,9732465.0
2017-04-03,59.93,60.09,58.65,59.68,15378564.0,0.0,1.0,59.93,60.09,58.65,59.68,15378564.0
2017-03-31,60.31,60.51,59.79,59.82,14288631.0,0.0,1.0,60.31,60.51,59.79,59.82,14288631.0
2017-03-30,59.39,60.8259,59.36,60.51,14857493.0,0.0,1.0,59.39,60.8259,59.36,60.51,14857493.0
2017-03-29,59.53,59.88,59.27,59.39,13325851.0,0.0,1.0,59.53,59.88,59.27,59.39,13325851.0
2017-03-28,58.19,59.66,58.12,59.42,15368774.0,0.0,1.0,58.19,59.66,58.12,59.42,15368774.0
2017-03-27,56.85,58.45,56.55,58.33,17254801.0,0.0,1.0,56.85,58.45,56.55,58.33,17254801.0
2017-03-24,58.33,58.54,57.605,58.07,13399463.0,0.0,1.0,58.33,58.54,57.605,58.07,13399463.0
2017-03-23,57.76,58.82,57.53,58.05,16735681.0,0.0,1.0,57.76,58.82,57.53,58.05,16735681.0
2017-03-22,57.41,58.3865,56.9,57.77,25648496.0,0.0,1.0,57.41,58.3865,56.9,57.77,25648496.0
2017-03-21,60.13,60.2,57.95,58.04,34140442.0,0.0,1.0,60.13,60.2,57.95,58.04,34140442.0
2017-03-20,60.1,60.38,59.59,59.59,14813762.0,0.0,1.0,60.1,60.38,59.59,59.59,14813762.0
2017-03-17,61.16,61.27,60.2,60.37,32281850.0,0.0,1.0,61.16,61.27,60.2,60.37,32281850.0
2017-03-16,61.05,61.41,60.77,61.15,15198253.0,0.0,1.0,61.05,61.41,60.77,61.15,15198253.0
2017-03-15,61.7,61.78,60.455,60.84,20086941.0,0.0,1.0,61.7,61.78,60.455,60.84,20086941.0
2017-03-14,61.33,61.47,60.81,61.44,11819667.0,0.0,1.0,61.33,61.47,60.81,61.44,11819667.0
2017-03-13,61.54,61.79,60.98,61.53,13481512.0,0.0,1.0,61.54,61.79,60.98,61.53,13481512.0
2017-03-10,61.94,62.03,60.92,61.49,17419572.0,0.0,1.0,61.94,62.03,60.92,61.49,17419572.0
2017-03-09,61.36,62.09,61.23,61.55,21429345.0,0.0,1.0,61.36,62.09,61.23,61.55,21429345.0
2017-03-08,61.56,62.53,61.06,61.11,30723959.0,0.0,1.0,61.56,62.53,61.06,61.11,30723959.0
2017-03-07,60.19,60.71,59.775,60.5,17296299.0,0.0,1.0,60.19,60.71,59.775,60.5,17296299.0
