Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-20,33.95,34.5197,33.9,34.1,11633900.0,0.0,1.0,33.95,34.5197,33.9,34.1,11633900.0
2017-04-19,33.89,34.1,33.71,33.79,12255093.0,0.0,1.0,33.89,34.1,33.71,33.79,12255093.0
2017-04-18,33.72,33.825,33.485,33.69,7007636.0,0.0,1.0,33.72,33.825,33.485,33.69,7007636.0
2017-04-17,33.47,33.98,33.37,33.9,10719230.0,0.0,1.0,33.47,33.98,33.37,33.9,10719230.0
2017-04-13,33.78,33.91,33.37,33.39,9470935.0,0.0,1.0,33.78,33.91,33.37,33.39,9470935.0
2017-04-12,34.03,34.29,33.72,33.94,14210903.0,0.0,1.0,34.03,34.29,33.72,33.94,14210903.0
2017-04-11,34.09,34.09,33.585,33.92,10400246.0,0.0,1.0,34.09,34.09,33.585,33.92,10400246.0
2017-04-10,33.84,34.12,33.8,33.97,13683596.0,0.0,1.0,33.84,34.12,33.8,33.97,13683596.0
2017-04-07,34.03,34.2,33.7,33.71,14121673.0,0.0,1.0,34.03,34.2,33.7,33.71,14121673.0
2017-04-06,34.02,34.47,33.89,34.16,12154041.0,0.0,1.0,34.02,34.47,33.89,34.16,12154041.0
2017-04-05,34.62,34.65,33.99,34.0,10529633.0,0.0,1.0,34.62,34.65,33.99,34.0,10529633.0
2017-04-04,33.9,34.43,33.9,34.27,9495055.0,0.0,1.0,33.9,34.43,33.9,34.27,9495055.0
2017-04-03,35.33,35.4,33.8,34.17,31773514.0,0.0,1.0,35.33,35.4,33.8,34.17,31773514.0
2017-03-31,35.35,35.51,35.27,35.36,11761643.0,0.0,1.0,35.35,35.51,35.27,35.36,11761643.0
2017-03-30,35.5,35.79,35.315,35.41,8690941.0,0.0,1.0,35.5,35.79,35.315,35.41,8690941.0
2017-03-29,35.62,36.06,35.52,35.54,13864564.0,0.0,1.0,35.62,36.06,35.52,35.54,13864564.0
2017-03-28,34.66,36.25,34.66,35.56,29591269.0,0.0,1.0,34.66,36.25,34.66,35.56,29591269.0
2017-03-27,34.28,34.75,33.97,34.71,12924182.0,0.0,1.0,34.28,34.75,33.97,34.71,12924182.0
2017-03-24,34.4,35.07,34.08,34.56,16181392.0,0.0,1.0,34.4,35.07,34.08,34.56,16181392.0
2017-03-23,34.0,34.4566,33.7901,34.26,14485752.0,0.0,1.0,34.0,34.4566,33.7901,34.26,14485752.0
2017-03-22,34.31,34.61,33.96,34.39,18824673.0,0.0,1.0,34.31,34.61,33.96,34.39,18824673.0
2017-03-21,35.95,35.98,34.47,34.55,30648743.0,0.0,1.0,35.95,35.98,34.47,34.55,30648743.0
2017-03-20,36.36,36.45,35.6,35.71,38235818.0,0.0,1.0,36.36,36.45,35.6,35.71,38235818.0
2017-03-17,37.13,37.16,36.3,36.33,19499370.0,0.0,1.0,37.13,37.16,36.3,36.33,19499370.0
2017-03-16,37.09,37.12,36.77,37.08,12549194.0,0.0,1.0,37.09,37.12,36.77,37.08,12549194.0
2017-03-15,37.07,37.16,36.79,37.09,27980193.0,0.0,1.0,37.07,37.16,36.79,37.09,27980193.0
2017-03-14,36.75,36.965,36.68,36.96,5820144.0,0.0,1.0,36.75,36.965,36.68,36.96,5820144.0
2017-03-13,37.0,37.125,36.83,36.87,10092016.0,0.0,1.0,37.0,37.125,36.83,36.87,10092016.0
2017-03-10,37.1,37.185,36.77,36.83,17985049.0,0.0,1.0,37.1,37.185,36.77,36.83,17985049.0
2017-03-09,37.33,37.35,36.78,36.84,11226975.0,0.0,1.0,37.33,37.35,36.78,36.84,11226975.0
2017-03-08,37.11,37.6865,37.11,37.27,11292935.0,0.38,1.0,37.11,37.6865,37.11,37.27,11292935.0
2017-03-07,37.76,37.84,37.3,37.52,17139897.0,0.0,1.0,37.378889774236,37.458082337317,36.923532536521,37.141312084993,17139897.0
2017-03-06,37.98,38.55,37.2,37.91,18363949.0,0.0,1.0,37.596669322709,38.160916334661,36.824541832669,37.527375830013,18363949.0
2017-03-03,37.76,38.37,37.58,38.24,18591045.0,0.0,1.0,37.378889774236,37.982733067729,37.200706507304,37.854045152722,18591045.0
2017-03-02,37.37,38.1,37.25,37.75,13477214.0,0.0,1.0,36.992826029216,37.715458167331,36.874037184595,37.368990703851,13477214.0
2017-03-01,37.2,37.75,37.18,37.43,10702571.0,0.0,1.0,36.824541832669,37.368990703851,36.804743691899,37.052220451527,10702571.0
2017-02-28,37.15,37.22,36.55,36.84,10496939.0,0.0,1.0,36.775046480744,36.84433997344,36.181102257636,36.468175298805,10496939.0
2017-02-27,36.92,37.36,36.86,37.27,10091775.0,0.0,1.0,36.547367861886,36.982926958831,36.487973439575,36.893835325365,10091775.0
2017-02-24,36.87,37.19,36.57,36.9,13017442.0,0.0,1.0,36.49787250996,36.814642762284,36.200900398406,36.527569721116,13017442.0
2017-02-23,37.94,38.07,37.19,37.25,13110647.0,0.0,1.0,37.557073041169,37.685760956175,36.814642762284,36.874037184595,13110647.0
2017-02-22,37.89,38.105,37.795,37.84,8977760.0,0.0,1.0,37.507577689243,37.720407702523,37.413536520584,37.458082337317,8977760.0
2017-02-21,37.6,38.1,37.42,37.81,13540469.0,0.0,1.0,37.220504648074,37.715458167331,37.042321381142,37.428385126162,13540469.0
2017-02-17,36.79,37.9,36.41,37.22,15739276.0,0.0,1.0,36.418679946879,37.517476759628,36.042515272244,36.84433997344,15739276.0
2017-02-16,37.11,37.16,36.82,37.03,9313824.0,0.0,1.0,36.735450199203,36.784945551129,36.448377158035,36.656257636122,9313824.0
2017-02-15,36.95,37.11,36.6,37.08,15106610.0,0.0,1.0,36.577065073041,36.735450199203,36.230597609562,36.705752988048,15106610.0
2017-02-14,36.72,37.4,36.67,37.24,31219645.0,0.0,1.0,36.349386454183,37.022523240372,36.299891102258,36.86413811421,31219645.0
2017-02-13,35.38,35.54,35.18,35.52,10123468.0,0.0,1.0,35.022911022576,35.181296148738,34.824929614874,35.161498007968,10123468.0
2017-02-10,35.21,35.32,35.08,35.17,10305480.0,0.0,1.0,34.854626826029,34.963516600266,34.725938911023,34.815030544489,10305480.0
2017-02-09,35.28,35.4,35.02,35.08,14833963.0,0.0,1.0,34.923920318725,35.042709163347,34.666544488712,34.725938911023,14833963.0
2017-02-08,35.2,35.33,34.72,35.14,16866377.0,0.0,1.0,34.844727755644,34.973415670651,34.369572377158,34.785333333333,16866377.0
2017-02-07,35.75,35.96,34.8,35.1,39468332.0,0.0,1.0,35.389176626826,35.597057104914,34.448764940239,34.745737051793,39468332.0
2017-02-06,36.41,36.83,36.26,36.83,13747591.0,0.0,1.0,36.042515272244,36.45827622842,35.894029216467,36.45827622842,13747591.0
2017-02-03,35.92,36.33,35.68,36.33,13947285.0,0.0,1.0,35.557460823373,35.963322709163,35.31988313413,35.963322709163,13947285.0
2017-02-02,36.08,36.14,35.47,35.73,11563319.0,0.0,1.0,35.715845949535,35.775240371846,35.112002656042,35.369378486056,11563319.0
2017-02-01,36.68,37.11,35.86,36.14,13714985.0,0.0,1.0,36.309790172643,36.735450199203,35.498066401062,35.775240371846,13714985.0
2017-01-31,36.25,36.65,36.12,36.61,10647773.0,0.0,1.0,35.884130146082,36.280092961487,35.755442231076,36.240496679947,10647773.0
2017-01-30,36.84,36.9,36.13,36.33,11721467.0,0.0,1.0,36.468175298805,36.527569721116,35.765341301461,35.963322709163,11721467.0
2017-01-27,37.52,37.59,36.88,37.0,9328733.0,0.0,1.0,37.141312084993,37.210605577689,36.507771580345,36.626560424967,9328733.0
2017-01-26,38.1,38.25,37.37,37.52,10740845.0,0.0,1.0,37.715458167331,37.863944223108,36.992826029216,37.141312084993,10740845.0
2017-01-25,37.71,38.375,37.6,38.28,20584602.0,0.0,1.0,37.329394422311,37.987682602922,37.220504648074,37.893641434263,20584602.0
2017-01-24,36.7,37.24,36.68,37.0,11579616.0,0.0,1.0,36.329588313413,36.86413811421,36.309790172643,36.626560424967,11579616.0
2017-01-23,37.01,37.13,36.38,36.65,11469642.0,0.0,1.0,36.636459495352,36.755248339973,36.012818061089,36.280092961487,11469642.0
2017-01-20,37.42,37.42,36.76,37.01,13631625.0,0.0,1.0,37.042321381142,37.042321381142,36.388982735724,36.636459495352,13631625.0
2017-01-19,37.63,37.84,37.16,37.3,8181717.0,0.0,1.0,37.25020185923,37.458082337317,36.784945551129,36.923532536521,8181717.0
2017-01-18,37.45,37.58,37.12,37.47,10874237.0,0.0,1.0,37.072018592297,37.200706507304,36.745349269588,37.091816733068,10874237.0
2017-01-17,37.34,37.69,37.165,37.31,8219738.0,0.0,1.0,36.963128818061,37.309596281541,36.789895086321,36.933431606906,8219738.0
2017-01-13,37.55,37.77,37.15,37.34,8710962.0,0.0,1.0,37.171009296149,37.388788844622,36.775046480744,36.963128818061,8710962.0
2017-01-12,38.0,38.15,37.06,37.51,16825935.0,0.0,1.0,37.616467463479,37.764953519256,36.685954847278,37.131413014608,16825935.0
2017-01-11,37.54,38.11,37.22,37.95,19483349.0,0.0,1.0,37.161110225764,37.725357237716,36.84433997344,37.566972111554,19483349.0
2017-01-10,36.19,38.16,36.05,37.35,34785785.0,0.0,1.0,35.824735723772,37.774852589641,35.68614873838,36.973027888446,34785785.0
2017-01-09,36.12,36.535,35.86,36.01,15201278.0,0.0,1.0,35.755442231076,36.166253652058,35.498066401062,35.646552456839,15201278.0
2017-01-06,36.41,36.545,35.93,35.99,13234763.0,0.0,1.0,36.042515272244,36.176152722444,35.567359893758,35.626754316069,13234763.0
2017-01-05,37.01,37.05,36.065,36.39,15621907.0,0.0,1.0,36.636459495352,36.676055776892,35.700997343958,36.022717131474,15621907.0
2017-01-04,35.6,37.235,35.47,37.09,23293079.0,0.0,1.0,35.240690571049,36.859188579017,35.112002656042,36.715652058433,23293079.0
2017-01-03,34.98,35.57,34.84,35.15,10901122.0,0.0,1.0,34.626948207171,35.210993359894,34.48836122178,34.795232403718,10901122.0
2016-12-30,35.21,35.31,34.67,34.84,7644097.0,0.0,1.0,34.854626826029,34.95361752988,34.320077025232,34.48836122178,7644097.0
