Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-20,83.73,84.66,83.49,84.14,4118992.0,0.0,1.0,83.73,84.66,83.49,84.14,4118992.0
2017-04-19,83.21,84.0,82.96,83.51,5151083.0,0.0,1.0,83.21,84.0,82.96,83.51,5151083.0
2017-04-18,82.6,83.05,82.515,82.82,2877287.0,0.0,1.0,82.6,83.05,82.515,82.82,2877287.0
2017-04-17,82.63,83.16,82.5215,83.13,1839630.0,0.0,1.0,82.63,83.16,82.5215,83.13,1839630.0
2017-04-13,82.82,83.18,82.35,82.48,2746058.0,0.0,1.0,82.82,83.18,82.35,82.48,2746058.0
2017-04-12,82.44,82.83,82.31,82.57,2948445.0,0.0,1.0,82.44,82.83,82.31,82.57,2948445.0
2017-04-11,82.27,82.81,82.08,82.68,3398324.0,0.0,1.0,82.27,82.81,82.08,82.68,3398324.0
2017-04-10,82.28,82.81,82.12,82.51,3849166.0,0.0,1.0,82.28,82.81,82.12,82.51,3849166.0
2017-04-07,81.8,82.94,81.66,82.33,5554374.0,0.0,1.0,81.8,82.94,81.66,82.33,5554374.0
2017-04-06,81.2,81.91,80.92,81.66,4675577.0,0.0,1.0,81.2,81.91,80.92,81.66,4675577.0
2017-04-05,82.98,83.1,80.3,81.17,12001390.0,0.0,1.0,82.98,83.1,80.3,81.17,12001390.0
2017-04-04,82.84,83.61,82.39,82.5,3211379.0,0.0,1.0,82.84,83.61,82.39,82.5,3211379.0
2017-04-03,83.36,83.75,82.8,82.95,3248674.0,0.0,1.0,83.36,83.75,82.8,82.95,3248674.0
2017-03-31,83.11,83.69,83.03,83.07,3052501.0,0.0,1.0,83.11,83.69,83.03,83.07,3052501.0
2017-03-30,83.65,83.79,83.1,83.31,2432054.0,0.0,1.0,83.65,83.79,83.1,83.31,2432054.0
2017-03-29,83.6,83.87,83.31,83.77,1901628.0,0.0,1.0,83.6,83.87,83.31,83.77,1901628.0
2017-03-28,83.29,84.015,83.1,83.74,2665292.0,0.0,1.0,83.29,84.015,83.1,83.74,2665292.0
2017-03-27,82.71,83.62,82.5501,83.56,2406278.0,0.0,1.0,82.71,83.62,82.5501,83.56,2406278.0
2017-03-24,83.25,83.34,82.61,82.97,2007817.0,0.0,1.0,83.25,83.34,82.61,82.97,2007817.0
2017-03-23,82.89,83.4712,82.59,82.98,2448471.0,0.0,1.0,82.89,83.4712,82.59,82.98,2448471.0
2017-03-22,83.49,83.85,82.55,83.03,4430927.0,0.0,1.0,83.49,83.85,82.55,83.03,4430927.0
2017-03-21,84.76,84.91,82.77,83.21,5072986.0,0.0,1.0,84.76,84.91,82.77,83.21,5072986.0
2017-03-20,85.77,85.86,84.55,84.63,3579559.0,0.0,1.0,85.77,85.86,84.55,84.63,3579559.0
2017-03-17,86.25,86.25,85.04,85.91,7254687.0,0.0,1.0,86.25,86.25,85.04,85.91,7254687.0
2017-03-16,85.61,86.04,85.22,85.67,3356110.0,0.0,1.0,85.61,86.04,85.22,85.67,3356110.0
2017-03-15,85.53,85.95,84.71,85.8,3921032.0,0.0,1.0,85.53,85.95,84.71,85.8,3921032.0
2017-03-14,85.45,85.5,84.63,85.4,3257320.0,0.0,1.0,85.45,85.5,84.63,85.4,3257320.0
2017-03-13,85.42,85.76,85.0701,85.61,2417742.0,0.0,1.0,85.42,85.76,85.0701,85.61,2417742.0
2017-03-10,85.93,86.06,85.34,85.63,2601035.0,0.0,1.0,85.93,86.06,85.34,85.63,2601035.0
2017-03-09,85.26,85.81,84.45,85.31,2520986.0,0.0,1.0,85.26,85.81,84.45,85.31,2520986.0
2017-03-08,85.99,85.99,85.12,85.16,2898421.0,0.0,1.0,85.99,85.99,85.12,85.16,2898421.0
2017-03-07,85.46,86.32,85.36,85.99,2407972.0,0.0,1.0,85.46,86.32,85.36,85.99,2407972.0
2017-03-06,85.58,86.44,85.36,85.88,2437548.0,0.0,1.0,85.58,86.44,85.36,85.88,2437548.0
2017-03-03,86.66,86.91,85.24,85.89,3157970.0,0.0,1.0,86.66,86.91,85.24,85.89,3157970.0
2017-03-02,86.5,87.03,86.3196,86.74,3097105.0,0.0,1.0,86.5,87.03,86.3196,86.74,3097105.0
2017-03-01,86.82,87.23,86.4,86.77,3390496.0,0.0,1.0,86.82,87.23,86.4,86.77,3390496.0
2017-02-28,87.13,87.13,85.59,86.38,3879904.0,0.0,1.0,87.13,87.13,85.59,86.38,3879904.0
2017-02-27,87.47,87.58,87.05,87.22,2032133.0,0.0,1.0,87.47,87.58,87.05,87.22,2032133.0
2017-02-24,86.86,87.63,86.73,87.61,2890852.0,0.0,1.0,86.86,87.63,86.73,87.61,2890852.0
2017-02-23,86.47,87.82,83.99,86.99,3437222.0,0.0,1.0,86.47,87.82,83.99,86.99,3437222.0
2017-02-22,86.43,86.57,85.9,86.29,3047701.0,0.0,1.0,86.43,86.57,85.9,86.29,3047701.0
2017-02-21,88.0,88.0,85.89,86.41,3430698.0,0.0,1.0,88.0,88.0,85.89,86.41,3430698.0
2017-02-17,85.54,86.1,85.37,85.86,4106620.0,0.0,1.0,85.54,86.1,85.37,85.86,4106620.0
2017-02-16,84.2,86.12,84.0,85.65,6373665.0,0.0,1.0,84.2,86.12,84.0,85.65,6373665.0
2017-02-15,83.74,84.38,83.61,84.25,2736127.0,0.0,1.0,83.74,84.38,83.61,84.25,2736127.0
2017-02-14,83.33,83.88,83.06,83.79,5095885.0,0.0,1.0,83.33,83.88,83.06,83.79,5095885.0
2017-02-13,83.48,83.6275,82.67,83.43,3299797.0,0.375,1.0,83.48,83.6275,82.67,83.43,3299797.0
2017-02-10,82.38,83.46,81.9501,83.31,4401200.0,0.0,1.0,82.0113764095221,83.08654376230534,81.58340007159478,82.93721496330768,4401200.0
2017-02-09,81.73,82.55,81.3991,82.38,2950038.0,0.0,1.0,81.36428494719885,82.1806157150528,81.03486561660999,82.0113764095221,2950038.0
2017-02-08,81.32,81.655,80.72,81.53,2515251.0,0.0,1.0,80.95611956327187,81.28962054770001,80.35880436728118,81.16517988186862,2515251.0
2017-02-07,80.91,81.55,80.37,81.43,4174804.0,0.0,1.0,80.5479541793449,81.18509038840165,80.0103705029533,81.06562734920351,4174804.0
2017-02-06,80.53,81.4,80.47,80.8,3418422.0,0.0,1.0,80.16965455521746,81.03576158940398,80.1099230356184,80.43844639341327,3418422.0
2017-02-03,81.13,81.24,80.4,80.47,3167670.0,0.0,1.0,80.76696975120815,80.87647753713978,80.04023626275283,80.1099230356184,3167670.0
2017-02-02,81.05,81.05,80.21,80.59,3667771.0,0.0,1.0,80.68732772507606,80.68732772507606,79.8510864506891,80.22938607481655,3667771.0
2017-02-01,81.2,81.69,80.16,81.04,5080115.0,0.0,1.0,80.83665652407375,81.32446393413281,79.80131018435654,80.67737247180956,5080115.0
2017-01-31,81.26,81.94,81.09,81.94,3424716.0,0.0,1.0,80.89638804367281,81.5733452657956,80.72714873814212,81.5733452657956,3424716.0
2017-01-30,82.0,82.23,81.04,81.48,5047095.0,0.0,1.0,81.63307678539466,81.86204761052443,80.67737247180956,81.11540361553607,5047095.0
2017-01-27,81.6,82.28,80.74,81.5,4613064.0,0.0,1.0,81.23486665473419,81.91182387685699,80.3787148738142,81.13531412206909,4613064.0
2017-01-26,81.87,82.26,81.22,81.27,2535271.0,0.0,1.0,81.50365849293001,81.89191337032398,80.85656703060677,80.90634329693931,2535271.0
2017-01-25,81.42,82.32,81.33,82.03,5113159.0,0.0,1.0,81.055672095937,81.95164488992303,80.9660748165384,81.6629425451942,5113159.0
2017-01-24,81.72,81.81,80.62,81.23,4245772.0,0.0,1.0,81.35432969393234,81.44392697333095,80.25925183461608,80.86652228387328,4245772.0
2017-01-23,81.4,82.49,81.345,81.55,3704323.0,0.0,1.0,81.03576158940398,82.12088419545373,80.98100769643816,81.18509038840165,3704323.0
2017-01-20,84.11,84.72,81.01,81.72,11067907.0,0.0,1.0,83.7336352246286,84.3409056738858,80.64750671201003,81.35432969393234,11067907.0
2017-01-19,84.08,84.09,83.34,83.49,2615684.0,0.0,1.0,83.70376946482907,83.71372471809558,82.96708072310722,83.11640952210487,2615684.0
2017-01-18,84.21,84.4,83.63,84.12,2938775.0,0.0,1.0,83.83318775729371,84.02233756935745,83.25578306783605,83.74359047789511,2938775.0
2017-01-17,83.53,84.55,83.5,84.22,3332053.0,0.0,1.0,83.15623053517093,84.1716663683551,83.1263647753714,83.84314301056023,3332053.0
2017-01-13,83.94,84.14,83.37,83.82,2934594.0,0.0,1.0,83.5643959190979,83.76350098442813,82.99694648290675,83.44493287989975,2934594.0
