Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-20,72.6,72.84,72.23,72.79,2163999.0,0.0,1.0,72.6,72.84,72.23,72.79,2163999.0
2017-04-19,73.15,73.33,72.47,72.66,1203037.0,0.0,1.0,73.15,73.33,72.47,72.66,1203037.0
2017-04-18,72.38,73.38,72.3,72.98,1828896.0,0.0,1.0,72.38,73.38,72.3,72.98,1828896.0
2017-04-17,72.08,72.37,72.0,72.31,1257442.0,0.0,1.0,72.08,72.37,72.0,72.31,1257442.0
2017-04-13,72.34,72.58,71.91,71.95,1683492.0,0.0,1.0,72.34,72.58,71.91,71.95,1683492.0
2017-04-12,72.07,72.59,71.97,72.33,2484772.0,0.0,1.0,72.07,72.59,71.97,72.33,2484772.0
2017-04-11,72.3,72.54,71.97,72.15,2041797.0,0.0,1.0,72.3,72.54,71.97,72.15,2041797.0
2017-04-10,72.48,72.7622,72.13,72.27,1694127.0,0.0,1.0,72.48,72.7622,72.13,72.27,1694127.0
2017-04-07,72.36,72.73,72.255,72.59,1622650.0,0.0,1.0,72.36,72.73,72.255,72.59,1622650.0
2017-04-06,72.59,72.59,72.02,72.41,1775304.0,0.0,1.0,72.59,72.59,72.02,72.41,1775304.0
2017-04-05,72.34,72.97,72.18,72.75,1507434.0,0.0,1.0,72.34,72.97,72.18,72.75,1507434.0
2017-04-04,72.41,72.67,71.86,72.27,1420930.0,0.0,1.0,72.41,72.67,71.86,72.27,1420930.0
2017-04-03,72.59,72.7499,72.141,72.37,2156054.0,0.0,1.0,72.59,72.7499,72.141,72.37,2156054.0
2017-03-31,72.45,72.92,72.45,72.61,2123242.0,0.0,1.0,72.45,72.92,72.45,72.61,2123242.0
2017-03-30,72.93,73.13,72.38,72.54,2143449.0,0.0,1.0,72.93,73.13,72.38,72.54,2143449.0
2017-03-29,72.67,73.16,72.3,73.08,2041331.0,0.0,1.0,72.67,73.16,72.3,73.08,2041331.0
2017-03-28,72.44,72.81,72.2,72.66,1683080.0,0.0,1.0,72.44,72.81,72.2,72.66,1683080.0
2017-03-27,72.84,73.0,72.402,72.56,2523285.0,0.0,1.0,72.84,73.0,72.402,72.56,2523285.0
2017-03-24,73.29,73.46,72.75,73.0,2920532.0,0.0,1.0,73.29,73.46,72.75,73.0,2920532.0
2017-03-23,72.72,73.55,72.38,73.11,3006277.0,0.0,1.0,72.72,73.55,72.38,73.11,3006277.0
2017-03-22,73.61,73.63,72.28,72.71,4529794.0,0.0,1.0,73.61,73.63,72.28,72.71,4529794.0
2017-03-21,74.06,74.29,73.46,73.6,4247730.0,0.0,1.0,74.06,74.29,73.46,73.6,4247730.0
2017-03-20,75.01,75.19,74.66,74.98,2602927.0,0.0,1.0,75.01,75.19,74.66,74.98,2602927.0
2017-03-17,75.09,75.31,74.73,75.11,3577381.0,0.0,1.0,75.09,75.31,74.73,75.11,3577381.0
2017-03-16,74.65,74.76,74.235,74.76,2043027.0,0.0,1.0,74.65,74.76,74.235,74.76,2043027.0
2017-03-15,74.38,75.0,74.23,74.75,1527378.0,0.0,1.0,74.38,75.0,74.23,74.75,1527378.0
2017-03-14,73.87,74.48,73.87,74.23,2105320.0,0.0,1.0,73.87,74.48,73.87,74.23,2105320.0
2017-03-13,74.04,74.18,73.8439,74.15,1314404.0,0.0,1.0,74.04,74.18,73.8439,74.15,1314404.0
2017-03-10,74.53,74.6499,74.03,74.205,1174975.0,0.0,1.0,74.53,74.6499,74.03,74.205,1174975.0
2017-03-09,74.11,74.29,73.72,74.1,1837374.0,0.0,1.0,74.11,74.29,73.72,74.1,1837374.0
2017-03-08,73.94,74.08,73.64,73.86,1269158.0,0.0,1.0,73.94,74.08,73.64,73.86,1269158.0
2017-03-07,74.15,74.76,74.08,74.15,1584899.0,0.0,1.0,74.15,74.76,74.08,74.15,1584899.0
2017-03-06,74.05,74.4,73.76,74.21,1195850.0,0.0,1.0,74.05,74.4,73.76,74.21,1195850.0
2017-03-03,75.03,75.03,74.07,74.47,2676175.0,0.0,1.0,75.03,75.03,74.07,74.47,2676175.0
2017-03-02,74.93,75.1,74.49,75.01,2852868.0,0.0,1.0,74.93,75.1,74.49,75.01,2852868.0
2017-03-01,74.07,74.84,73.75,74.83,1908500.0,0.0,1.0,74.07,74.84,73.75,74.83,1908500.0
2017-02-28,73.9,74.6,73.9,74.07,1789343.0,0.0,1.0,73.9,74.6,73.9,74.07,1789343.0
2017-02-27,74.44,74.8,73.73,73.88,1326725.0,0.0,1.0,74.44,74.8,73.73,73.88,1326725.0
2017-02-24,74.67,75.23,74.67,75.23,1701123.0,0.0,1.0,74.148112903226,74.704198924731,74.148112903226,74.704198924731,1701123.0
2017-02-23,74.57,75.02,74.52,74.82,1281592.0,0.0,1.0,74.048811827957,74.495666666667,73.999161290323,74.297064516129,1281592.0
2017-02-22,74.64,75.17,74.11,74.49,2123709.0,0.0,1.0,74.118322580645,74.64461827957,73.59202688172,73.969370967742,2123709.0
2017-02-21,74.11,74.88,73.84,74.7305,3003435.0,0.0,1.0,73.59202688172,74.35664516129,73.323913978495,74.208190053763,3003435.0
2017-02-17,72.99,73.69,72.44,72.9,4127954.0,0.0,1.0,72.47985483871,73.174962365591,71.933698924731,72.390483870968,4127954.0
2017-02-16,75.89,76.44,74.37,74.72,3069221.0,0.0,1.0,75.359586021505,75.905741935484,73.850209677419,74.19776344086,3069221.0
2017-02-15,75.28,76.3,74.531,76.04,1810406.0,0.0,1.0,74.753849462366,75.766720430108,74.010084408602,75.508537634409,1810406.0
2017-02-14,75.5,76.15,75.25,75.92,1871677.0,0.0,1.0,74.972311827957,75.617768817204,74.724059139785,75.389376344086,1871677.0
2017-02-13,75.89,76.04,75.33,75.62,2431779.0,0.0,1.0,75.359586021505,75.508537634409,74.8035,75.09147311828,2431779.0
2017-02-10,76.16,76.56,75.71,76.02,2388455.0,0.0,1.0,75.627698924731,76.024903225806,75.180844086021,75.488677419355,2388455.0
2017-02-09,74.6,76.69,74.59,76.44,3654201.0,0.0,1.0,74.078602150538,76.153994623656,74.068672043011,75.905741935484,3654201.0
2017-02-08,72.85,73.6,72.68,73.49,2130689.0,0.0,1.0,72.340833333333,73.085591397849,72.172021505376,72.976360215054,2130689.0
2017-02-07,72.6,73.07,72.38,72.85,1972664.0,0.0,1.0,72.092580645161,72.559295698925,71.87411827957,72.340833333333,1972664.0
2017-02-06,73.16,73.3199,72.27,72.33,1048857.0,0.0,1.0,72.648666666667,72.807449086022,71.764887096774,71.824467741935,1048857.0
2017-02-03,73.02,73.79,72.57,73.36,1412596.0,0.0,1.0,72.50964516129,73.27426344086,72.062790322581,72.847268817204,1412596.0
2017-02-02,72.13,73.43,72.02,72.79,1420076.0,0.0,1.0,71.625865591398,72.916779569892,71.516634408602,72.281252688172,1420076.0
2017-02-01,72.31,72.51,71.45,71.9,1429744.0,0.0,1.0,71.804607526882,72.003209677419,70.95061827957,71.39747311828,1429744.0
2017-01-31,72.73,72.99,72.61,72.71,1180355.0,0.0,1.0,72.221672043011,72.47985483871,72.102510752688,72.201811827957,1180355.0
2017-01-30,73.05,73.05,72.3,72.67,997486.0,0.0,1.0,72.539435483871,72.539435483871,71.794677419355,72.162091397849,997486.0
2017-01-27,72.13,73.125,71.84,73.0,1808777.0,0.0,1.0,71.625865591398,72.613911290323,71.337892473118,72.489784946237,1808777.0
2017-01-26,72.31,72.58,71.95,72.09,1700441.0,0.0,1.0,71.804607526882,72.072720430108,71.447123655914,71.58614516129,1700441.0
2017-01-25,72.83,72.83,72.205,72.31,1598337.0,0.0,1.0,72.32097311828,72.32097311828,71.700341397849,71.804607526882,1598337.0
2017-01-24,72.3,72.87,72.16,72.61,1951393.0,0.0,1.0,71.794677419355,72.360693548387,71.655655913978,72.102510752688,1951393.0
2017-01-23,72.2,72.4599,71.66,72.29,1392624.0,0.0,1.0,71.695376344086,71.95345983871,71.159150537634,71.784747311828,1392624.0
2017-01-20,71.91,72.65,71.77,72.21,2235169.0,0.0,1.0,71.407403225806,72.142231182796,71.26838172043,71.705306451613,2235169.0
2017-01-19,71.91,72.1,71.68,71.78,1520839.0,0.0,1.0,71.407403225806,71.596075268817,71.179010752688,71.278311827957,1520839.0
2017-01-18,72.01,72.55,71.83,71.98,1967347.0,0.0,1.0,71.506704301075,72.042930107527,71.327962365591,71.476913978495,1967347.0
2017-01-17,71.5,72.05,71.48,72.03,2447781.0,0.0,1.0,71.000268817204,71.546424731183,70.980408602151,71.526564516129,2447781.0
2017-01-13,71.79,71.9,71.05,71.38,2129208.0,0.0,1.0,71.288241935484,71.39747311828,70.553413978495,70.881107526882,2129208.0
2017-01-12,71.81,72.33,71.67,71.92,1428684.0,0.0,1.0,71.308102150538,71.824467741935,71.169080645161,71.417333333333,1428684.0
2017-01-11,71.64,72.21,71.58,71.87,1152993.0,0.0,1.0,71.139290322581,71.705306451613,71.079709677419,71.367682795699,1152993.0
2017-01-10,72.28,72.35,71.62,71.66,1186380.0,0.0,1.0,71.774817204301,71.844327956989,71.119430107527,71.159150537634,1186380.0
2017-01-09,73.26,73.26,72.03,72.13,1213619.0,0.0,1.0,72.747967741935,72.747967741935,71.526564516129,71.625865591398,1213619.0
2017-01-06,72.77,73.42,72.5999,73.13,1078294.0,0.0,1.0,72.261392473118,72.906849462366,72.092481344086,72.618876344086,1078294.0
2017-01-05,73.04,73.38,72.36,73.11,1316897.0,0.0,1.0,72.529505376344,72.867129032258,71.854258064516,72.599016129032,1316897.0
2017-01-04,73.54,73.73,73.13,73.18,1083429.0,0.0,1.0,73.026010752688,73.214682795699,72.618876344086,72.66852688172,1083429.0
2017-01-03,73.71,73.71,72.83,73.37,1699775.0,0.0,1.0,73.194822580645,73.194822580645,72.32097311828,72.857198924731,1699775.0
2016-12-30,74.0,74.16,73.42,73.71,1039164.0,0.0,1.0,73.482795698925,73.641677419355,72.906849462366,73.194822580645,1039164.0
2016-12-29,73.51,74.14,73.33,73.96,1452324.0,0.0,1.0,72.996220430108,73.621817204301,72.817478494624,73.443075268817,1452324.0
2016-12-28,73.82,73.9,73.32,73.43,664899.0,0.0,1.0,73.304053763441,73.383494623656,72.807548387097,72.916779569892,664899.0
2016-12-27,73.57,74.06,73.26,73.85,656928.0,0.0,1.0,73.055801075269,73.542376344086,72.747967741935,73.333844086022,656928.0
2016-12-23,73.57,73.65,73.08,73.57,615043.0,0.0,1.0,73.055801075269,73.135241935484,72.569225806452,73.055801075269,615043.0
2016-12-22,73.3,73.83,72.7,73.66,1648195.0,0.0,1.0,72.787688172043,73.313983870968,72.19188172043,73.145172043011,1648195.0
2016-12-21,73.21,73.99,72.99,73.15,1714735.0,0.0,1.0,72.698317204301,73.472865591398,72.47985483871,72.63873655914,1714735.0
2016-12-20,71.93,73.28,71.83,73.27,1394077.0,0.0,1.0,71.42726344086,72.767827956989,71.327962365591,72.757897849462,1394077.0
2016-12-19,73.32,73.47,72.635,72.92,966650.0,0.0,1.0,72.807548387097,72.9565,72.127336021505,72.410344086022,966650.0
2016-12-16,73.46,74.05,73.07,73.29,2376183.0,0.0,1.0,72.946569892473,73.532446236559,72.559295698925,72.777758064516,2376183.0
2016-12-15,73.02,73.85,72.84,73.41,1283452.0,0.0,1.0,72.50964516129,73.333844086022,72.330903225806,72.896919354839,1283452.0
2016-12-14,74.14,74.38,72.95,73.12,1296284.0,0.0,1.0,73.621817204301,73.860139784946,72.440134408602,72.608946236559,1296284.0
2016-12-13,73.8,74.49,73.65,73.95,1394574.0,0.0,1.0,73.284193548387,73.969370967742,73.135241935484,73.43314516129,1394574.0
2016-12-12,72.95,73.97,72.88,73.8,1778458.0,0.0,1.0,72.440134408602,73.453005376344,72.370623655914,73.284193548387,1778458.0
2016-12-09,72.16,73.33,72.0801,73.11,2338443.0,0.0,1.0,71.655655913978,72.817478494624,71.576314354839,72.599016129032,2338443.0
2016-12-08,72.33,72.39,71.86,72.09,1127971.0,0.0,1.0,71.824467741935,71.884048387097,71.357752688172,71.58614516129,1127971.0
2016-12-07,70.98,72.75,70.98,72.65,1934312.0,0.0,1.0,70.483903225806,72.241532258065,70.483903225806,72.142231182796,1934312.0
2016-12-06,71.87,72.16,71.61,71.97,1101970.0,0.0,1.0,71.367682795699,71.655655913978,71.1095,71.466983870968,1101970.0
2016-12-05,71.23,71.685,71.11,71.67,2073398.0,0.0,1.0,70.732155913979,71.183975806452,70.612994623656,71.169080645161,2073398.0
2016-12-02,71.23,71.5,70.79,71.17,1352601.0,0.0,1.0,70.732155913979,71.000268817204,70.295231182796,70.672575268817,1352601.0
2016-12-01,71.61,71.85,70.735,70.96,2289147.0,0.0,1.0,71.1095,71.347822580645,70.240615591398,70.464043010753,2289147.0
2016-11-30,73.26,73.38,71.96,72.0,1821145.0,0.0,1.0,72.747967741935,72.867129032258,71.457053763441,71.496774193548,1821145.0
2016-11-29,73.52,73.73,72.83,73.62,945430.0,0.52,1.0,73.006150537634,73.214682795699,72.32097311828,73.105451612903,945430.0
2016-11-28,74.01,74.58,73.68,73.89,1093686.0,0.0,1.0,72.977265630847,73.539311859864,72.651870445626,72.858940108948,1093686.0
2016-11-25,73.71,74.48,73.5345,74.16,497277.0,0.0,1.0,72.681451826101,73.440707258282,72.508400750324,73.12517253322,497277.0
2016-11-23,74.12,74.6,73.195,73.39,1341164.0,0.0,1.0,73.085730692587,73.55903278018,72.173638127953,72.365917101038,1341164.0
2016-11-22,73.61,74.66,73.61,74.49,1281810.0,0.0,1.0,72.582847224519,73.61819554113,72.582847224519,73.45056771844,1281810.0
2016-11-21,72.83,73.6,72.83,73.39,1308724.0,0.0,1.0,71.813731332179,72.57298676436,71.813731332179,72.365917101038,1308724.0
2016-11-18,73.35,73.54,72.835,73.07,1183170.0,0.0,1.0,72.326475260405,72.513824003411,71.818661562258,72.050382375976,1183170.0
2016-11-17,73.06,73.77,72.58,73.44,1197534.0,0.0,1.0,72.040521915818,72.74061458705,71.567219828224,72.415219401829,1197534.0
2016-11-16,73.45,73.63,72.96,73.26,1110027.0,0.0,1.0,72.425079861987,72.602568144835,71.941917314235,72.237731118982,1110027.0
2016-11-15,72.73,73.5,72.7,73.4,1884270.0,0.0,1.0,71.715126730597,72.474382162778,71.685545350122,72.375777561196,1884270.0
2016-11-14,72.43,72.96,71.83,72.53,2320269.0,0.0,1.0,71.419312925851,71.941917314235,70.827685316359,71.517917527433,2320269.0
2016-11-11,72.72,73.245,72.05,72.5,1785130.0,0.0,1.0,71.705266270439,72.222940428744,71.044615439839,71.488336146958,1785130.0
2016-11-10,74.46,74.63,72.46,72.65,2972402.0,0.0,1.0,73.420986337966,73.588614160655,71.448894306325,71.636243049331,2972402.0
2016-11-09,75.42,75.45,73.37,74.88,1923082.0,0.0,1.0,74.367590513153,74.397171893628,72.346196180722,73.83512566461,1923082.0
2016-11-08,74.75,78.37,74.75,76.96,3390737.0,0.0,1.0,73.706939682553,77.276426259822,73.706939682553,75.886101377516,3390737.0
2016-11-07,74.37,75.06,74.06,74.95,1276377.0,0.0,1.0,73.332242196542,74.012613947458,73.026567931638,73.904148885718,1276377.0
2016-11-04,73.94,74.1,73.53,73.67,1324886.0,0.0,1.0,72.908242409739,73.06600977227,72.503963543253,72.642009985468,1324886.0
2016-11-03,74.99,75.12,73.75,73.97,1623458.0,0.0,1.0,73.94359072635,74.071776708407,72.720893666733,72.937823790214,1623458.0
2016-11-02,75.27,75.82,74.86,75.09,2282552.0,0.0,1.0,74.21968361078,74.762008919481,73.815404744294,74.042195327932,2282552.0
2016-11-01,75.62,76.04,74.72,75.21,3057950.0,0.0,1.0,74.564799716317,74.978939042961,73.677358302079,74.160520849831,3057950.0
2016-10-31,74.9,75.15,74.65,75.13,2416057.0,0.0,1.0,73.854846584927,74.101358088882,73.608335080972,74.081637168565,2416057.0
2016-10-28,74.27,74.98,74.1301,74.63,2139912.0,0.0,1.0,73.23363759496,73.933730266192,73.095689757347,73.588614160655,2139912.0
2016-10-27,74.07,74.66,74.0,74.16,1928346.0,0.0,1.0,73.036428391796,73.61819554113,72.967405170688,73.12517253322,1928346.0
2016-10-26,74.19,74.53,73.96,74.07,1296140.0,0.0,1.0,73.154753913694,73.490009559073,72.927963330056,73.036428391796,1296140.0
2016-10-25,74.24,74.49,74.16,74.21,1093071.0,0.0,1.0,73.204056214485,73.45056771844,73.12517253322,73.174474834011,1093071.0
2016-10-24,74.54,74.8,73.87,74.28,1728677.0,0.0,1.0,73.499870019231,73.756241983345,72.839219188632,73.243498055118,1728677.0
2016-10-21,74.02,74.58,73.66,74.34,1730673.0,0.0,1.0,72.987126091005,73.539311859864,72.63214952531,73.302660816067,1730673.0
2016-10-20,74.97,74.97,74.04,74.23,1815777.0,0.0,1.0,73.923869806034,73.923869806034,73.006847011321,73.194195754327,1815777.0
2016-10-19,75.37,75.41,74.57,74.93,1309831.0,0.0,1.0,74.318288212362,74.357730052995,73.529451399706,73.884427965401,1309831.0
2016-10-18,75.44,75.69,75.12,75.36,1282298.0,0.0,1.0,74.387311433469,74.633822937424,74.071776708407,74.308427752204,1282298.0
2016-10-17,75.66,75.67,74.93,74.99,2703422.0,0.0,1.0,74.60424155695,74.614102017108,73.884427965401,73.94359072635,2703422.0
2016-10-14,75.99,76.321,75.4493,75.49,2295278.0,0.0,1.0,74.92963674217,75.256017973407,74.396481661417,74.43661373426,2295278.0
2016-10-13,76.06,76.07,75.11,75.78,1808424.0,0.0,1.0,74.998659963278,75.008520423436,74.061916248249,74.722567078848,1808424.0
2016-10-12,76.01,76.715,75.87,76.46,1036906.0,0.0,1.0,74.949357662487,75.64452010364,74.811311220272,75.393078369606,1036906.0
2016-10-11,76.47,76.52,75.77,76.05,1617671.0,0.0,1.0,75.402938829764,75.452241130555,74.71270661869,74.98879950312,1617671.0
2016-10-10,76.5,77.06,76.23,76.47,1657798.0,0.0,1.0,75.432520210239,75.984705979098,75.166287785967,75.402938829764,1657798.0
2016-10-07,76.06,76.85,75.9,76.34,2190804.0,0.0,1.0,74.998659963278,75.777636315776,74.840892600747,75.274752847707,2190804.0
2016-10-06,75.94,76.17,75.48,75.97,1688822.0,0.0,1.0,74.880334441379,75.107125025018,74.426753274102,74.909915821854,1688822.0
2016-10-05,76.25,76.47,75.29,76.18,2441384.0,0.0,1.0,75.186008706284,75.402938829764,74.239404531096,75.116985485176,2441384.0
2016-10-04,77.01,77.1297,76.04,76.15,1601751.0,0.0,1.0,75.935403678307,76.053433386401,74.978939042961,75.087404104702,1601751.0
2016-10-03,77.21,77.42,76.83,77.25,1311914.0,0.0,1.0,76.132612881471,76.339682544793,75.757915395459,76.172054722104,1311914.0
2016-09-30,77.44,78.02,77.44,77.47,1444692.0,0.0,1.0,76.35940346511,76.931310154285,76.35940346511,76.388984845584,1444692.0
2016-09-29,77.81,78.07,77.23,77.26,845383.0,0.0,1.0,76.724240490963,76.980612455076,76.152333801787,76.181915182262,845383.0
2016-09-28,77.38,77.89,77.35,77.82,1117694.0,0.0,1.0,76.30024070416,76.803124172229,76.270659323686,76.734100951121,1117694.0
2016-09-27,77.66,77.73,77.06,77.38,825447.0,0.0,1.0,76.57633358859,76.645356809697,75.984705979098,76.30024070416,825447.0
