Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-20,132.65,133.44,132.64,133.27,2694880.0,0.0,1.0,132.65,133.44,132.64,133.27,2694880.0
2017-04-19,132.64,133.0,132.34,132.64,3130332.0,0.0,1.0,132.64,133.0,132.34,132.64,3130332.0
2017-04-18,132.01,132.8,131.8,132.3,3611839.0,0.0,1.0,132.01,132.8,131.8,132.3,3611839.0
2017-04-17,131.25,131.87,130.91,131.35,3236361.0,0.0,1.0,131.25,131.87,130.91,131.35,3236361.0
2017-04-13,131.0,131.14,130.57,130.76,2377574.0,0.0,1.0,131.0,131.14,130.57,130.76,2377574.0
2017-04-12,131.31,131.56,130.87,131.26,2893432.0,0.0,1.0,131.31,131.56,130.87,131.26,2893432.0
2017-04-11,130.62,131.24,129.8,131.2,3672585.0,0.0,1.0,130.62,131.24,129.8,131.2,3672585.0
2017-04-10,129.95,130.65,129.52,129.98,2642316.0,0.0,1.0,129.95,130.65,129.52,129.98,2642316.0
2017-04-07,130.02,130.4,129.62,129.96,2175267.0,0.0,1.0,130.02,130.4,129.62,129.96,2175267.0
2017-04-06,130.31,130.66,129.96,130.15,3856927.0,0.0,1.0,130.31,130.66,129.96,130.15,3856927.0
2017-04-05,129.89,131.58,129.65,130.41,4022329.0,0.0,1.0,129.89,131.58,129.65,130.41,4022329.0
2017-04-04,129.14,129.53,128.65,129.29,3407135.0,0.0,1.0,129.14,129.53,128.65,129.29,3407135.0
2017-04-03,129.5,129.71,128.86,129.61,3287101.0,0.0,1.0,129.5,129.71,128.86,129.61,3287101.0
2017-03-31,129.39,130.19,129.3,129.61,3023865.0,0.0,1.0,129.39,130.19,129.3,129.61,3023865.0
2017-03-30,128.75,129.53,128.6,129.32,2012807.0,0.0,1.0,128.75,129.53,128.6,129.32,2012807.0
2017-03-29,129.0,129.67,128.63,128.84,3172950.0,0.0,1.0,129.0,129.67,128.63,128.84,3172950.0
2017-03-28,129.46,129.77,128.94,129.45,3452217.0,0.0,1.0,129.46,129.77,128.94,129.45,3452217.0
2017-03-27,129.08,129.82,129.02,129.49,2508723.0,0.0,1.0,129.08,129.82,129.02,129.49,2508723.0
2017-03-24,129.38,129.68,129.16,129.34,3543976.0,0.0,1.0,129.38,129.68,129.16,129.34,3543976.0
2017-03-23,129.14,129.59,128.81,129.0,2772259.0,0.0,1.0,129.14,129.59,128.81,129.0,2772259.0
2017-03-22,128.58,129.15,128.41,129.1,3113044.0,0.0,1.0,128.58,129.15,128.41,129.1,3113044.0
2017-03-21,129.22,129.75,128.18,128.52,4040038.0,0.0,1.0,129.22,129.75,128.18,128.52,4040038.0
