Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-20,113.52,113.97,113.39,113.59,2971442.0,0.0,1.0,113.52,113.97,113.39,113.59,2971442.0
2017-04-19,114.42,114.49,113.48,113.62,3023841.0,0.0,1.0,114.42,114.49,113.48,113.62,3023841.0
2017-04-18,113.44,114.605,113.4047,114.28,4572878.0,0.0,1.0,113.44,114.605,113.4047,114.28,4572878.0
2017-04-17,112.74,113.32,112.68,113.32,2912166.0,0.0,1.0,112.74,113.32,112.68,113.32,2912166.0
2017-04-13,113.25,113.38,112.65,112.68,3233337.0,0.0,1.0,113.25,113.38,112.65,112.68,3233337.0
2017-04-12,112.05,113.765,111.9,113.61,6251698.0,0.0,1.0,112.05,113.765,111.9,113.61,6251698.0
2017-04-11,111.71,112.08,111.35,111.73,3016757.0,0.0,1.0,111.71,112.08,111.35,111.73,3016757.0
2017-04-10,111.7,112.145,111.4101,112.02,2758827.0,0.0,1.0,111.7,112.145,111.4101,112.02,2758827.0
2017-04-07,111.7,111.96,111.4409,111.61,2794135.0,0.0,1.0,111.7,111.96,111.4409,111.61,2794135.0
2017-04-06,112.12,112.28,111.42,111.58,2728336.0,0.0,1.0,112.12,112.28,111.42,111.58,2728336.0
2017-04-05,112.04,112.59,111.69,111.94,2939030.0,0.0,1.0,112.04,112.59,111.69,111.94,2939030.0
2017-04-04,111.99,112.22,111.63,112.08,2358875.0,0.0,1.0,111.99,112.22,111.63,112.08,2358875.0
2017-04-03,111.95,112.36,111.4599,111.86,3580961.0,0.0,1.0,111.95,112.36,111.4599,111.86,3580961.0
2017-03-31,112.31,112.47,111.83,111.86,3707102.0,0.0,1.0,112.31,112.47,111.83,111.86,3707102.0
2017-03-30,112.29,112.55,112.0,112.18,2099754.0,0.0,1.0,112.29,112.55,112.0,112.18,2099754.0
2017-03-29,112.06,112.535,111.97,112.43,2608365.0,0.0,1.0,112.06,112.535,111.97,112.43,2608365.0
2017-03-28,111.81,112.76,111.64,112.45,3912364.0,0.0,1.0,111.81,112.76,111.64,112.45,3912364.0
2017-03-27,111.87,112.29,111.57,111.83,3295405.0,0.0,1.0,111.87,112.29,111.57,111.83,3295405.0
