Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-20,184.64,186.95,183.79,186.48,1624198.0,0.0,1.0,184.64,186.95,183.79,186.48,1624198.0
2017-04-19,185.14,186.07,182.89,183.56,1558160.0,0.0,1.0,185.14,186.07,182.89,183.56,1558160.0
2017-04-18,184.86,185.78,183.55,183.61,1486258.0,0.0,1.0,184.86,185.78,183.55,183.61,1486258.0
2017-04-17,184.37,185.9,183.07,185.54,2320710.0,0.0,1.0,184.37,185.9,183.07,185.54,2320710.0
2017-04-13,186.49,186.8,183.71,183.73,2655948.0,0.0,1.0,186.49,186.8,183.71,183.73,2655948.0
2017-04-12,193.12,193.23,186.15,186.31,3356244.0,0.0,1.0,193.12,193.23,186.15,186.31,3356244.0
2017-04-11,195.05,195.13,192.68,192.99,2366560.0,0.0,1.0,195.05,195.13,192.68,192.99,2366560.0
2017-04-10,196.13,197.23,195.23,195.76,1107699.0,0.0,1.0,196.13,197.23,195.23,195.76,1107699.0
2017-04-07,195.54,196.88,195.37,195.65,1584840.0,0.0,1.0,195.54,196.88,195.37,195.65,1584840.0
2017-04-06,196.0,197.26,195.64,195.99,1408706.0,0.0,1.0,196.0,197.26,195.64,195.99,1408706.0
2017-04-05,197.0,199.17,195.5,195.85,1634934.0,0.0,1.0,197.0,199.17,195.5,195.85,1634934.0
2017-04-04,195.06,196.58,194.65,196.27,1866388.0,0.0,1.0,195.06,196.58,194.65,196.27,1866388.0
2017-04-03,195.86,197.2,194.4001,195.36,1794785.0,0.0,1.0,195.86,197.2,194.4001,195.36,1794785.0
2017-03-31,193.95,196.23,193.215,195.15,2164430.0,0.0,1.0,193.95,196.23,193.215,195.15,2164430.0
2017-03-30,192.5,194.34,191.68,194.17,1843734.0,0.0,1.0,192.5,194.34,191.68,194.17,1843734.0
2017-03-29,189.44,191.66,189.15,190.92,1604800.0,0.0,1.0,189.44,191.66,189.15,190.92,1604800.0
2017-03-28,187.0,190.49,187.0,189.89,1664002.0,0.0,1.0,187.0,190.49,187.0,189.89,1664002.0
2017-03-27,186.79,187.62,184.3,187.04,2376243.0,0.0,1.0,186.79,187.62,184.3,187.04,2376243.0
2017-03-24,189.34,190.31,187.23,188.12,2824602.0,0.0,1.0,189.34,190.31,187.23,188.12,2824602.0
2017-03-23,195.0,195.14,189.1,189.19,3362047.0,0.0,1.0,195.0,195.14,189.1,189.19,3362047.0
2017-03-22,195.67,197.48,192.5,195.92,6070472.0,0.0,1.0,195.67,197.48,192.5,195.92,6070472.0
2017-03-21,193.09,193.86,191.68,191.84,2890129.0,0.0,1.0,193.09,193.86,191.68,191.84,2890129.0
2017-03-20,195.05,195.51,192.18,192.27,2141435.0,0.0,1.0,195.05,195.51,192.18,192.27,2141435.0
2017-03-17,193.89,196.09,192.38,194.59,2338423.0,0.0,1.0,193.89,196.09,192.38,194.59,2338423.0
2017-03-16,193.39,194.0,192.44,193.11,1226421.0,0.0,1.0,193.39,194.0,192.44,193.11,1226421.0
2017-03-15,191.95,194.26,191.5,193.26,1377799.0,0.0,1.0,191.95,194.26,191.5,193.26,1377799.0
2017-03-14,192.9,193.03,190.975,191.38,1324206.0,0.0,1.0,192.9,193.03,190.975,191.38,1324206.0
2017-03-13,191.87,193.24,191.39,193.12,1245669.0,0.0,1.0,191.87,193.24,191.39,193.12,1245669.0
