Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-20,18.44,18.565,18.29,18.52,6785494.0,0.0,1.0,18.44,18.565,18.29,18.52,6785494.0
2017-04-19,18.42,18.61,18.3,18.38,12196464.0,0.0,1.0,18.42,18.61,18.3,18.38,12196464.0
2017-04-18,18.21,18.3601,18.08,18.22,10177080.0,0.0,1.0,18.21,18.3601,18.08,18.22,10177080.0
2017-04-17,18.17,18.32,18.07,18.2,8213848.0,0.0,1.0,18.17,18.32,18.07,18.2,8213848.0
2017-04-13,17.99,18.35,17.94,18.2,12689305.0,0.0,1.0,17.99,18.35,17.94,18.2,12689305.0
2017-04-12,18.37,18.37,17.85,18.02,18577622.0,0.0,1.0,18.37,18.37,17.85,18.02,18577622.0
2017-04-11,17.4,17.55,17.29,17.54,14390833.0,0.0,1.0,17.4,17.55,17.29,17.54,14390833.0
2017-04-10,17.4,17.54,17.291,17.36,6559303.0,0.0,1.0,17.4,17.54,17.291,17.36,6559303.0
2017-04-07,17.54,17.63,17.28,17.37,13456912.0,0.0,1.0,17.54,17.63,17.28,17.37,13456912.0
2017-04-06,17.69,17.72,17.43,17.56,8367840.0,0.0,1.0,17.69,17.72,17.43,17.56,8367840.0
2017-04-05,17.8,17.94,17.6,17.69,10240920.0,0.0,1.0,17.8,17.94,17.6,17.69,10240920.0
2017-04-04,17.52,17.74,17.5,17.72,6781123.0,0.0,1.0,17.52,17.74,17.5,17.72,6781123.0
2017-04-03,17.93,17.95,17.43,17.59,10538188.0,0.0,1.0,17.93,17.95,17.43,17.59,10538188.0
2017-03-31,17.61,17.96,17.56,17.88,19237488.0,0.0,1.0,17.61,17.96,17.56,17.88,19237488.0
2017-03-30,17.25,17.69,17.22,17.65,10804044.0,0.0,1.0,17.25,17.69,17.22,17.65,10804044.0
2017-03-29,17.2,17.38,17.17,17.26,5298717.0,0.0,1.0,17.2,17.38,17.17,17.26,5298717.0
2017-03-28,17.23,17.41,17.2,17.26,8728249.0,0.0,1.0,17.23,17.41,17.2,17.26,8728249.0
2017-03-27,17.09,17.31,17.03,17.2,5698088.0,0.0,1.0,17.09,17.31,17.03,17.2,5698088.0
2017-03-24,17.28,17.4,17.13,17.23,6583749.0,0.0,1.0,17.28,17.4,17.13,17.23,6583749.0
2017-03-23,17.23,17.38,17.14,17.21,9156921.0,0.0,1.0,17.23,17.38,17.14,17.21,9156921.0
2017-03-22,17.22,17.3,17.1,17.23,10520208.0,0.0,1.0,17.22,17.3,17.1,17.23,10520208.0
2017-03-21,17.62,17.69,17.15,17.15,9559563.0,0.0,1.0,17.62,17.69,17.15,17.15,9559563.0
2017-03-20,17.57,17.68,17.52,17.56,6598850.0,0.0,1.0,17.57,17.68,17.52,17.56,6598850.0
2017-03-17,17.65,17.7,17.56,17.56,14247412.0,0.0,1.0,17.65,17.7,17.56,17.56,14247412.0
2017-03-16,17.6,17.71,17.48,17.65,8983693.0,0.0,1.0,17.6,17.71,17.48,17.65,8983693.0
2017-03-15,17.44,17.65,17.28,17.57,10624396.0,0.0,1.0,17.44,17.65,17.28,17.57,10624396.0
2017-03-14,17.46,17.58,17.41,17.47,6333157.0,0.0,1.0,17.46,17.58,17.41,17.47,6333157.0
2017-03-13,17.41,17.49,17.35,17.49,6501091.0,0.0,1.0,17.41,17.49,17.35,17.49,6501091.0
2017-03-10,17.25,17.6,17.25,17.38,7115410.0,0.0,1.0,17.25,17.6,17.25,17.38,7115410.0
2017-03-09,17.25,17.415,17.175,17.35,7529105.0,0.0,1.0,17.25,17.415,17.175,17.35,7529105.0
2017-03-08,17.3,17.4,17.22,17.31,5967539.0,0.0,1.0,17.3,17.4,17.22,17.31,5967539.0
2017-03-07,17.27,17.42,17.05,17.28,9436231.0,0.0,1.0,17.27,17.42,17.05,17.28,9436231.0
2017-03-06,17.44,17.44,17.13,17.3,11030636.0,0.133,1.0,17.44,17.44,17.13,17.3,11030636.0
2017-03-03,17.3,17.4,17.12,17.34,13193941.0,0.0,1.0,17.168014684793,17.267251763896,16.989387942408,17.207709516434,13193941.0
2017-03-02,17.66,17.69,17.31,17.32,10987647.0,0.0,1.0,17.525268169563,17.555039293294,17.177938392703,17.187862100614,10987647.0
2017-03-01,17.65,17.71,17.45,17.62,9818715.0,0.0,1.0,17.515344461653,17.574886709115,17.316870303447,17.485573337922,9818715.0
2017-02-28,17.64,17.6699,17.37,17.37,13940117.0,0.0,1.0,17.505420753743,17.535092640395,17.237480640165,17.237480640165,13940117.0
2017-02-27,17.65,17.81,17.48,17.65,12287497.0,0.0,1.0,17.515344461653,17.674123788218,17.346641427178,17.515344461653,12287497.0
2017-02-24,17.34,17.68,17.31,17.65,19789501.0,0.0,1.0,17.207709516434,17.545115585384,17.177938392703,17.515344461653,19789501.0
2017-02-23,16.51,17.8,16.48,17.59,35976506.0,0.0,1.0,16.384041759881,17.664200080307,16.35427063615,17.455802214191,35976506.0
2017-02-22,16.09,16.24,16.09,16.2,16590848.0,0.0,1.0,15.967246027649,16.116101646303,15.967246027649,16.076406814662,16590848.0
2017-02-21,15.93,16.22,15.93,16.13,16128716.0,0.0,1.0,15.808466701084,16.096254230482,15.808466701084,16.00694085929,16128716.0
2017-02-17,15.88,15.95,15.72,15.95,15738549.0,0.0,1.0,15.758848161533,15.828314116905,15.600068834968,15.828314116905,15738549.0
2017-02-16,15.99,16.03,15.89,15.92,11898267.0,0.0,1.0,15.868008948546,15.907703780187,15.768771869443,15.798542993174,11898267.0
2017-02-15,16.04,16.14,15.89,15.97,13300443.0,0.0,1.0,15.917627488097,16.0168645672,15.768771869443,15.848161532725,13300443.0
2017-02-14,15.96,16.41,15.95,16.06,17083989.0,0.0,1.0,15.838237824815,16.284804680778,15.828314116905,15.937474903918,17083989.0
