Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-20,104.75,105.74,104.57,105.53,2423267.0,0.0,1.0,104.75,105.74,104.57,105.53,2423267.0
2017-04-19,104.58,105.0903,104.33,104.46,2042621.0,0.0,1.0,104.58,105.0903,104.33,104.46,2042621.0
2017-04-18,104.52,104.74,103.56,104.1,3039186.0,0.0,1.0,104.52,104.74,103.56,104.1,3039186.0
2017-04-17,104.06,104.87,103.92,104.87,1720500.0,0.0,1.0,104.06,104.87,103.92,104.87,1720500.0
2017-04-13,104.18,104.559,103.7,103.74,2832608.0,0.0,1.0,104.18,104.559,103.7,103.74,2832608.0
2017-04-12,105.06,105.34,104.18,104.23,2951846.0,0.0,1.0,105.06,105.34,104.18,104.23,2951846.0
2017-04-11,106.15,106.16,105.23,105.75,3024803.0,0.0,1.0,106.15,106.16,105.23,105.75,3024803.0
2017-04-10,105.45,106.88,105.37,106.42,3632671.0,0.0,1.0,105.45,106.88,105.37,106.42,3632671.0
2017-04-07,106.31,106.6,104.91,104.99,3207531.0,0.0,1.0,106.31,106.6,104.91,104.99,3207531.0
2017-04-06,106.77,106.94,106.51,106.67,2755553.0,0.0,1.0,106.77,106.94,106.51,106.67,2755553.0
2017-04-05,106.94,107.78,106.54,106.74,2595188.0,0.0,1.0,106.94,107.78,106.54,106.74,2595188.0
2017-04-04,106.3,106.7,105.7,106.63,2138552.0,0.0,1.0,106.3,106.7,105.7,106.63,2138552.0
2017-04-03,107.66,107.7336,106.08,106.4,2641950.0,0.0,1.0,107.66,107.7336,106.08,106.4,2641950.0
2017-03-31,106.48,107.7,106.48,107.3,2474101.0,0.0,1.0,106.48,107.7,106.48,107.3,2474101.0
2017-03-30,105.81,106.84,105.35,106.66,1696637.0,0.0,1.0,105.81,106.84,105.35,106.66,1696637.0
2017-03-29,105.65,106.35,105.46,106.03,1873685.0,0.0,1.0,105.65,106.35,105.46,106.03,1873685.0
2017-03-28,104.72,106.52,104.5,106.19,3180170.0,0.0,1.0,104.72,106.52,104.5,106.19,3180170.0
2017-03-27,104.48,104.98,103.75,104.78,2148420.0,0.0,1.0,104.48,104.98,103.75,104.78,2148420.0
2017-03-24,105.69,105.84,104.8001,105.05,2503891.0,0.0,1.0,105.69,105.84,104.8001,105.05,2503891.0
