Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-20,52.72,53.59,52.43,53.5,31466521.0,0.0,1.0,52.72,53.59,52.43,53.5,31466521.0
2017-04-19,52.88,53.14,52.05,52.15,17303070.0,0.0,1.0,52.88,53.14,52.05,52.15,17303070.0
2017-04-18,52.36,52.665,52.09,52.45,22130663.0,0.0,1.0,52.36,52.665,52.09,52.45,22130663.0
2017-04-17,51.64,52.76,51.255,52.72,31682730.0,0.0,1.0,51.64,52.76,51.255,52.72,31682730.0
2017-04-13,51.8,52.75,51.35,51.35,47835519.0,0.0,1.0,51.8,52.75,51.35,51.35,47835519.0
2017-04-12,53.95,54.02,53.05,53.12,25363945.0,0.0,1.0,53.95,54.02,53.05,53.12,25363945.0
2017-04-11,54.23,54.26,53.265,54.16,27795020.0,0.0,1.0,54.23,54.26,53.265,54.16,27795020.0
2017-04-10,54.99,55.2499,54.32,54.54,14221064.0,0.0,1.0,54.99,55.2499,54.32,54.54,14221064.0
2017-04-07,54.94,55.31,54.61,54.84,15827023.0,0.0,1.0,54.94,55.31,54.61,54.84,15827023.0
2017-04-06,54.95,55.65,54.705,55.37,10370486.0,0.0,1.0,54.95,55.65,54.705,55.37,10370486.0
2017-04-05,55.79,56.2,54.93,54.98,17349932.0,0.0,1.0,55.79,56.2,54.93,54.98,17349932.0
2017-04-04,55.3,55.33,54.98,55.2,11914421.0,0.0,1.0,55.3,55.33,54.98,55.2,11914421.0
2017-04-03,55.7,55.82,54.79,55.49,14496290.0,0.0,1.0,55.7,55.82,54.79,55.49,14496290.0
2017-03-31,56.02,56.175,55.62,55.66,11844871.0,0.0,1.0,56.02,56.175,55.62,55.66,11844871.0
2017-03-30,55.68,56.43,55.61,56.24,12091245.0,0.0,1.0,55.68,56.43,55.61,56.24,12091245.0
2017-03-29,55.94,56.09,55.55,55.67,10205814.0,0.0,1.0,55.94,56.09,55.55,55.67,10205814.0
2017-03-28,55.35,56.25,55.24,55.96,14746270.0,0.0,1.0,55.35,56.25,55.24,55.96,14746270.0
2017-03-27,54.63,55.58,54.24,55.39,16733690.0,0.0,1.0,54.63,55.58,54.24,55.39,16733690.0
2017-03-24,55.5,56.05,55.22,55.83,20962009.0,0.0,1.0,55.5,56.05,55.22,55.83,20962009.0
